title,title-cleaned,titlepart2,titlepart3,titlepart4,titlepart5,type,body,body-cleaned,post-time,lat,long,attributebubbles
For you - m4w,For you , m4w,,,,m4w,"Good Morning Precious, I love you. ........................................................................................................................................................................","Good Morning Precious,
I love you.
........................................................................................................................................................................",5/10/2016 6:39:00,,,
ISO BLACKOREA/HARLEM/LONG ISLAND CITY/LA OR NYC OR? - m4w (Harlem / Morningside),ISO BLACKOREA/HARLEM/LONG ISLAND CITY/LA OR NYC OR? , m4w (Harlem / Morningside),,,,m4w ,who are you and where are you? sorry for iso don't want to call you out maybe you or one of your friends or someone who knows you will see this we met Sat 3/19 after your soul dinner with new shoes we arrived separately strangers from same town at Harlem hot spot red wine at first bartender got it wrong u were v nice we were feeling it u had to leave to get up v v early we both wanted to continue but did not know how u texted I pushed away am sorry no deetz how can we find each other now? msg me here plz put name or descr where we met so I know it's you thx,"who are you
and where are you? sorry for iso don't want to call you out maybe you or one of your friends or someone who knows you will see this we met Sat 3/19 after your soul dinner with new shoes we arrived separately strangers from same town at Harlem hot spot red wine at first bartender got it wrong u were v nice we were feeling it u had to leave to get up v v early we both wanted to continue but did not know how u texted I pushed away am sorry no deetz how can we find each other now? msg me here plz put name or descr where we met so I know it's you thx",5/10/2016 7:45:00,40.807873,-73.945016,
Scott at midtown nysc Monday morning - m4m (Midtown),Scott at midtown nysc Monday morning , m4m (Midtown),,,,m4m ,"You said you don't normally go at that time. We had fun - you have a nice smile, great tan body. You watched me cum in the shower, then you went back to the steam. Wonder what else you were up to? :P Tell me more or which NYSC this was.","You said you don't normally go at that time.
We had fun - you have a nice smile,
great tan body.
You watched me cum in the shower,
then you went back to the steam.
Wonder what else you were up to? :P Tell me more or which NYSC this was.",5/10/2016 7:43:00,,,
Cute Guy at Aldi - m4m (East Harlem),Cute Guy at Aldi , m4m (East Harlem),,,,m4m ,You work at Aldi on 117th St. You are always very friendly to me when I shop there & find you very nice & very attractive! Not certain if you are gay of bi but wanted to inform you of my interest without creating an uncomfortable situation for you at your workplace. Please contact me should you have any interest in possibly pursuing becoming better acquainted.,"You work at Aldi on 117th St.
You are always very friendly to me when I shop there & find you very nice & very attractive! Not certain if you are gay of bi but wanted to inform you of my interest without creating an uncomfortable situation for you at your workplace.
Please contact me should you have any interest in possibly pursuing becoming better acquainted.",5/1/2016 9:16:00,40.795544,-73.932228,
Tall blonde patient escort at MSK - m4w (Midtown),Tall blonde patient escort at MSK , m4w (Midtown),,,,m4w ,Tall attractive blonde wearing heels and blue dress. We made eye contact several times and smiled at each other every time you walked past. I would love to get to know you and maybe more.. Hopefully your intrested in talking email me.,"Tall attractive blonde wearing heels
and blue dress.
We made eye contact several times
and smiled at each other every time you walked past.
I would love to get to know you
and maybe more..
Hopefully your intrested in talking email me.",5/10/2016 4:10:00,40.757714,-73.970192,
Fairway market - m4w (ask),Fairway market , m4w (ask),,,,m4w ,Ok this is my first time posting in this section but here goes nothing. I always see this pretty young mixed or she could be a lightskin black. Female at fairway market which one? That's a secret for now. She's about early 20s. I myself is young also and black,"Ok this is my first time posting in this section but here goes nothing.
I always see this pretty young mixed or she could be a lightskin black.
Female at fairway market which one? That's a secret for now.
She's about early 20s.
I myself is young also
and black",5/7/2016 23:41:00,,,body : average
Blonde guy exchanged looks and smile on downtown 1 train at 10:15pm - m4m,Blonde guy exchanged looks and smile on downtown 1 train at 10:15pm , m4m,,,,m4m,I saw you get on the downtown 1 train at I think 95th street and moved to the center of the car and stood to get off at 79th. As I was waking away from the train I looked back and you smiled. Should have given you my number but would love to grab coffee or a drink if you see this!,"I saw you get on the downtown 1 train at I think 95th street
and moved to the center of the car
and stood to get off at 79th.
As I was waking away from the train I looked back
and you smiled.
Should have given you my number but would love to grab coffee or a drink if you see this!",5/10/2016 2:17:00,,,
Lunch - m4w (Midtown West),Lunch , m4w (Midtown West),,,,m4w ,"So when would you like to go for lunch sweetheart C. Do you know that will be one of the best moment in my life to go for lunch with you. Im missing so much our dinners. I miss the water glass you used to give me with care and love . I miss you every day every hour every mint .you are always in my heart . I love you so much . I miss you a lot . Watching your pics all the time watching your beautiful eyes You are my angle my princes my heart my love , you are my spatiol lady . You mean every thing to me . I never loved any buddy before as I do love you. And I will never love agin any buddy as the way I love you.","So when would you like to go for lunch sweetheart C.
Do you know that will be one of the best moment in my life to go for lunch with you.
Im missing so much our dinners.
I miss the water glass you used to give me with care
and love .
I miss you every day every hour every mint .you are always in my heart .
I love you so much .
I miss you a lot .
Watching your pics all the time watching your beautiful eyes You are my angle my princes my heart my love ,
you are my spatiol lady .
You mean every thing to me .
I never loved any buddy before as I do love you.
And I will never love agin any buddy as the way I love you.",5/10/2016 1:41:00,40.7547,-73.9925,
TS WOMAN READY FOR LOVE....black men ok - t4m (Upper West Side),TS WOMAN READY FOR LOVE....black men ok , t4m (Upper West Side),,,,t4m ,"I am very a very sexy nice professional ts girl wanted to meet nice young black men for good friendship , communication ,maybe love. please reply me with a serious Interest . maly . from 20 / to 32 NOTE; iam not interested in booty call. please reply me with u pic ,","I am very a very sexy nice professional ts girl wanted to meet nice young black men for good friendship ,
communication ,maybe love.
please reply me with a serious Interest .
maly .
from 20 / to 32 NOTE; iam not interested in booty call.
please reply me with u pic ,",5/10/2016 0:33:00,40.6664,-74.1192,body : average
Tall and handsome downtown 1 train - w4m (Midtown West),Tall and handsome downtown 1 train , w4m (Midtown West),,,,w4m ,"I think I've lost my edge. When I see a man I'm interested in i tend to flirt just a little harder then I did...I think I just wasn't sure if you were interested but I think you were.... You: Tall, Nike running sneakers, sports gym bag, the cutest ripped jeans I've ever seen and an amazing beard. Never done this but decided to try it. Email me? What was I wearing? Describe me?? What stop did you get off?","I think I've lost my edge.
When I see a man I'm interested in i tend to flirt just a little harder then I did...I think I just wasn't sure if you were interested but I think you were....
You: Tall,
Nike running sneakers,
sports gym bag,
the cutest ripped jeans I've ever seen
and an amazing beard.
Never done this but decided to try it.
Email me? What was I wearing? Describe me?? What stop did you get off?",5/10/2016 1:24:00,40.795813,-73.971462,
TS WOMAN READY FOR LOVE....black men ok - t4m (Upper West Side),TS WOMAN READY FOR LOVE....black men ok , t4m (Upper West Side),,,,t4m ,"I am very a very sexy nice professional ts girl wanted to meet nice young black men for good friendship , communication ,maybe love. please reply me with a serious Interest . maly . from 20 / to 32 NOTE; iam not interested in booty call. please reply me with u pic ,","I am very a very sexy nice professional ts girl wanted to meet nice young black men for good friendship ,
communication ,maybe love.
please reply me with a serious Interest .
maly .
from 20 / to 32 NOTE; iam not interested in booty call.
please reply me with u pic ,",5/10/2016 0:32:00,40.6664,-74.1192,body : average
No games? - w4m,No games? , w4m,,,,w4m,"Then, why here? What do you want? Really? Perhaps, you've already found it. If so, be well. P.S. Would've shared anything, directly, but you never asked... ""The truth is the light and the light is the truth."" -R.E.","Then,
why here? What do you want? Really? Perhaps,
you've already found it.
If so,
be well.
P.S.
Would've shared anything,
directly,
but you never asked...
""The truth is the light
and the light is the truth."" -R.E.",5/10/2016 0:51:00,,,
I held the door for you at Brookfield Place - w4m (Financial District),I held the door for you at Brookfield Place , w4m (Financial District),,,,w4m ,"We must have both been leaving work, but you don't look like the typical finance bros who work at Brookfield Place. We were both wearing leather jackets...I held the door for you, you said thank you, and I got too nervous to respond. I hope I see you again soon!","We must have both been leaving work,
but you don't look like the typical finance bros who work at Brookfield Place.
We were both wearing leather jackets...I held the door for you,
you said thank you,
and I got too nervous to respond.
I hope I see you again soon!",5/9/2016 22:14:00,40.711569,-74.015786,age: 28
"Eye contact at 40/9 around 7pm, May 3rd - m4m (Midtown West)","Eye contact at 40/9 around 7pm, May 3rd ", m4m (Midtown West),,,,m4m ,"Last Tuesday, I saw you on the street walking with another guy. I think you checked me out, but obliviously it wasn't a good time to say hi. We've spoke on jackd/grindr before but never met. If you see this, please hit me up with some details. I'd like to get to know you.","Last Tuesday,
I saw you on the street walking with another guy.
I think you checked me out,
but obliviously it wasn't a good time to say hi.
We've spoke on jackd/grindr before but never met.
If you see this,
please hit me up with some details.
I'd like to get to know you.",5/9/2016 20:44:00,40.757144,-73.993561,
We work together... - m4w (Midtown),We work together... , m4w (Midtown),,,,m4w ,And I'm pretty sure you're into me. I don't think you care that I'm married either...,"And I'm pretty sure you're into me.
I don't think you care that I'm married either...",5/2/2016 21:33:00,40.7547,-73.9925,body : athletic
Phoebe B - m4w (Lower East Side),Phoebe B , m4w (Lower East Side),,,,m4w ,"We only met very briefly tonight (4/27). I wished it had lasted a little longer; there was a lot I wanted to tell you. I was mesmerized by you instantly. You are a fantastic musician and your music resonated with me deeply. I cried at your last song. I wanted to talk to you afterwards, but you were definitely busy and I couldn't think of how to phrase anything I wanted to say so I just sat in the lobby. Thank you for the really great show.","We only met very briefly tonight (4/27).
I wished it had lasted a little longer; there was a lot I wanted to tell you.
I was mesmerized by you instantly.
You are a fantastic musician
and your music resonated with me deeply.
I cried at your last song.
I wanted to talk to you afterwards,
but you were definitely busy
and I couldn't think of how to phrase anything I wanted to say so I just sat in the lobby.
Thank you for the really great show.",4/28/2016 2:03:00,40.719982,-73.993349,"interests : magic, bass guitar"
Hot Dude at 14th st/Uptown A on 5/8 around 2pm - m4m (Chelsea),Hot Dude at 14th st/Uptown A on 5/8 around 2pm , m4m (Chelsea),,,,m4m ,"You kept circling around me on the subway platform then took your jacket off before we both got on the Uptown A. I was wearing a red jacket with a blue shirt and sunglasses. We kept making eye contact, I was extremely turned on but had to get off at Penn Station to catch a train...","You kept circling around me on the subway platform then took your jacket off before we both got on the Uptown A.
I was wearing a red jacket with a blue shirt
and sunglasses.
We kept making eye contact,
I was extremely turned on but had to get off at Penn Station to catch a train...",5/9/2016 19:37:00,40.738413,-73.999743,NY : NY
I Miss You - w4m,I Miss You , w4m,,,,w4m,"I miss you. My connection is not my own so others use it too, therefore I am not able to write as often as I like. Not do to lack of thought of you, or hoarseness, mindfulness. I hope you are happy and well. Sometimes I see posts that appear to be from you. I love and miss you, that hasn't changed. Lunch sometime would be lovely.","I miss you.
My connection is not my own so others use it too,
therefore I am not able to write as often as I like.
Not do to lack of thought of you,
or hoarseness,
mindfulness.
I hope you are happy
and well.
Sometimes I see posts that appear to be from you.
I love
and miss you,
that hasn't changed.
Lunch sometime would be lovely.",5/9/2016 19:36:00,,,
Buying Coffee This Morning - m4w (Upper East Side),Buying Coffee This Morning , m4w (Upper East Side),,,,m4w ,Attractive blonde buying her coffee this morning on Madison Avenue. The exchange of glances and smiles was quick but hopefully the attraction is deep. Potentially discreet fun? Let me know the name of the store in your reply.,"Attractive blonde buying her coffee this morning on Madison Avenue.
The exchange of glances
and smiles was quick but hopefully the attraction is deep.
Potentially discreet fun? Let me know the name of the store in your reply.",4/28/2016 15:59:00,,,body : fit
Lunch on Madison Avenue - m4w (Manhattan),Lunch on Madison Avenue , m4w (Manhattan),,,,m4w ,"Week before last we were at adjoining tables. Not sure if the gentleman you were with was a business associate, husband, boyfriend, or what. But we could have fun in any event. Let's start with drinks or lunch? Put the name of the restaurant in your reply.","Week before last we were at adjoining tables.
Not sure if the gentleman you were with was a business associate,
husband,
boyfriend,
or what.
But we could have fun in any event.
Let's start with drinks or lunch? Put the name of the restaurant in your reply.",4/28/2016 15:58:00,,,age: 52
Cocktail Reception - m4w (Midtown),Cocktail Reception , m4w (Midtown),,,,m4w ,One of several couples at charity reception last week. Had a hard time not staring too much to be noticeable to our partners. Hope you are interested.,"One of several couples at charity reception last week.
Had a hard time not staring too much to be noticeable to our partners.
Hope you are interested.",4/26/2016 9:31:00,,,body : fit
looking for daddy - m4w,looking for daddy , m4w,,,,m4w,"you posted ""looking for a daddy who loves to please"". I so wanted to respond but the post was flagged for removal. get back to me.......................it will be worth it.","you posted ""looking for a daddy who loves to please"".
I so wanted to respond but the post was flagged for removal.
get back to me.......................it will be worth it.",5/9/2016 18:39:00,40.7764,-73.9827,
Re: Trust,Re: Trust,,,,,,"Sometimes trust means handing over the knife And letting the other person carve out a piece of your heart - the part that scares you - not to keep it in a jar or devour it, but to let it be free. You wrote: To trust is to take a knife of an intangible nature and meticulously remove an invisible piece of one's own heart to place in another's care, and to be forever unsure of their intention to place it in a jar for eternal maintenance, or to eat it in front of you, just to watch, as you die internally.","Sometimes trust means handing over the knife And letting the other person carve out a piece of your heart - the part that scares you - not to keep it in a jar or devour it,
but to let it be free.
You wrote: To trust is to take a knife of an intangible nature
and meticulously remove an invisible piece of one's own heart to place in another's care,
and to be forever unsure of their intention to place it in a jar for eternal maintenance,
or to eat it in front of you,
just to watch,
as you die internally.",5/9/2016 18:51:00,40.764555,-73.978169,
Crunch buddy on Monday night - m4m (Financial District),Crunch buddy on Monday night , m4m (Financial District),,,,m4m ,"We connected tonight in the locker room at 90 John, at around 6pm. Hit me up with a detail or two so I know it's you...","We connected tonight in the locker room at 90 John,
at around 6pm.
Hit me up with a detail or two so I know it's you...",5/9/2016 18:13:00,40.708227,-74.006531,body : athletic
DEC 2 2015 - m4w (PENN CLUB),12/2/2015, m4w (PENN CLUB),,,,m4w ,"So, I was at the front desk looking to pay for my parking. You offered to pick up the tab after hearing me sing and play for 2 hours. Your friend whisked you away before we got the chance to know each other better. Tell me your hair color, the color of the sweater you were wearing...","So,
I was at the front desk looking to pay for my parking.
You offered to pick up the tab after hearing me sing
and play for 2 hours.
Your friend whisked you away before we got the chance to know each other better.
Tell me your hair color,
the color of the sweater you were wearing...",5/9/2016 18:04:00,40.7597,-73.9918,
Tell Meg Ryan to check craigslist :) - m4w (SoHo),Tell Meg Ryan to check craigslist :) , m4w (SoHo),,,,m4w ,"Yes the actress, lol. I know this is silly but you only live once so I figured why not throw it out there and try. My name is Nick I'm 38 single white male from the Jersey Shore. Employed, no kids, no ex, no drama, just a nice guy looking to date. Why Meg Ryan? She's absolutely adorable and talented and who wouldn't want to take her out. :) I was asked the other day who my celebrity crush was. Without hesitation she was the first name that popped up. Does this whole idea sound far fetched? Of course. Do I realize the chances of this ever happening? Of course, but like I said why not try. Put this out there in the world and see what comes back. A little more about me, I live in Toms River, NJ, I make eyeglasses for a living, and I have a yorkie terrier that I took in. Beach, the park and a new restaurant is where you'll find me. Don't want to drag this out, so in closing, if anyone knows Meg Ryan maybe let her know there is a guy on craigslist from Jersey that would like to take her out on a coffee date and walk in the park :) Hope shes single.","Yes the actress,
lol.
I know this is silly but you only live once so I figured why not throw it out there
and try.
My name is Nick I'm 38 single white male from the Jersey Shore.
Employed,
no kids,
no ex,
no drama,
just a nice guy looking to date.
Why Meg Ryan? She's absolutely adorable
and talented
and who wouldn't want to take her out.
:) I was asked the other day who my celebrity crush was.
Without hesitation she was the first name that popped up.
Does this whole idea sound far fetched? Of course.
Do I realize the chances of this ever happening? Of course,
but like I said why not try.
Put this out there in the world
and see what comes back.
A little more about me,
I live in Toms River,
NJ,
I make eyeglasses for a living,
and I have a yorkie terrier that I took in.
Beach,
the park
and a new restaurant is where you'll find me.
Don't want to drag this out,
so in closing,
if anyone knows Meg Ryan maybe let her know there is a guy on craigslist from Jersey that would like to take her out on a coffee date
and walk in the park :) Hope shes single.",5/9/2016 17:56:00,,,age: 38
I was the Hasidic guy on the subway - m4w (NYC),I was the Hasidic guy on the subway , m4w (NYC),,,,m4w ,"We were both in the same car in visible distance of each other, we were continuously exchanging glances I couldnt display any reaction but I did notice your beautiful smile had it been in a more private setting I would definitely started a conversation with you and exchanged numbers. I hope you read this and have the same feelings... Should you have any reservations because of my appearance, please be assured that I am very normal, clean and know as much about the world as anybody else you know.","We were both in the same car in visible distance of each other,
we were continuously exchanging glances I couldnt display any reaction but I did notice your beautiful smile had it been in a more private setting I would definitely started a conversation with you
and exchanged numbers.
I hope you read this
and have the same feelings...
Should you have any reservations because of my appearance,
please be assured that I am very normal,
clean
and know as much about the world as anybody else you know.",5/9/2016 17:53:00,40.7484,-73.9967,body : average
"Looking for a woman that appreciates & loves Military men - m4w (Brooklyn, Manhattan, Queens)",Looking for a woman that appreciates & loves Military men ," m4w (Brooklyn, Manhattan, Queens)",,,,m4w ,"USMC 2nd Marines, 2nd Reconnaissance Battalion, Marine Expeditionary Unit, Force Recon SOC Airborne and Amphibious, 224 Cpl. ""I Paint My Face Black And Green... You Wont See Me I'm A Recon Marine!"" I've wasted time with women in my life that were not a good fit for me. I need stress relief Not stress addition. All i ask for in a relationship is simplicity, is that too hard to ask for? Minimal drama, intellectual, sensual, loving and understanding is all i want. I've come to realize a lot of women cant handle military men. A lot of women are self centered and Not nurturing. I'm tired of the fakes and phonies, not serious people. I'm trying to settle down and for a while. I only hope someone responds to this who can change my perspective on it, but i have yet to see. I'm considered by others tall dark and handsome... i consider myself rough and rugged... I'm mixed, highly intellectual, athletic, toned. Very hard worker, multi talented, speak multiple languages, ambitious and determined. I'm just looking for someone either the same, close to the same, or can handle being with someone like me and appreciate me as i would appreciate you. I'm looking for someone i can be with comfortably.. my other half or my support system. I don't know why this seems impossible, i am not concerned with your race... though i do have a thing for blondes or redheads, but not limited to that, all are welcome to reply. Tend to favor ages 21-39 just don't have any baggage as I've had to deal with that so of course some one Single. If you can love, appreciate and know how to treat a strong, intelligent Military man and be a good woman to one then by all means respond and lets find out, what do you have to lose... *With all that said, don't think you will have to wait 4-6 months to see me.. it is not like that and would never be... just throwing that out there.. no more than 2 days.... i like seeing my significant other frequently... i make time for the person i care about To not waist time and narrow things down, respond with info about your, maybe what your interest in this post comes from, if you are capable of handling a military man. ***Send Photo With Response to get a response back, I will reciprocate***","USMC 2nd Marines,
2nd Reconnaissance Battalion,
Marine Expeditionary Unit,
Force Recon SOC Airborne
and Amphibious,
224 Cpl.
""I Paint My Face Black And Green...
You Wont See Me I'm A Recon Marine!"" I've wasted time with women in my life that were not a good fit for me.
I need stress relief Not stress addition.
All i ask for in a relationship is simplicity,
is that too hard to ask for? Minimal drama,
intellectual,
sensual,
loving
and understanding is all i want.
I've come to realize a lot of women cant handle military men.
A lot of women are self centered
and Not nurturing.
I'm tired of the fakes
and phonies,
not serious people.
I'm trying to settle down
and for a while.
I only hope someone responds to this who can change my perspective on it,
but i have yet to see.
I'm considered by others tall dark
and handsome...
i consider myself rough
and rugged...
I'm mixed,
highly intellectual,
athletic,
toned.
Very hard worker,
multi talented,
speak multiple languages,
ambitious
and determined.
I'm just looking for someone either the same,
close to the same,
or can handle being with someone like me
and appreciate me as i would appreciate you.
I'm looking for someone i can be with comfortably..
my other half or my support system.
I don't know why this seems impossible,
i am not concerned with your race...
though i do have a thing for blondes or redheads,
but not limited to that,
all are welcome to reply.
Tend to favor ages 21-39 just don't have any baggage as I've had to deal with that so of course some one Single.
If you can love,
appreciate
and know how to treat a strong,
intelligent Military man
and be a good woman to one then by all means respond
and lets find out,
what do you have to lose...
*With all that said,
don't think you will have to wait 4-6 months to see me..
it is not like that
and would never be...
just throwing that out there..
no more than 2 days....
i like seeing my significant other frequently...
i make time for the person i care about To not waist time
and narrow things down,
respond with info about your,
maybe what your interest in this post comes from,
if you are capable of handling a military man.
***Send Photo With Response to get a response back,
I will reciprocate***",5/9/2016 16:44:00,,,
the perfect woman - w4m (Manhattan),the perfect woman , w4m (Manhattan),,,,w4m ,I'm an artist working on a project and gathering information and responses through craigslist. Please email me your description of the perfect woman. Your reply can include images and audio if you choose. Thank you so much in advance!,"I'm an artist working on a project
and gathering information
and responses through craigslist.
Please email me your description of the perfect woman.
Your reply can include images
and audio if you choose.
Thank you so much in advance!",5/9/2016 17:04:00,,,New York : New York
Turmeric Paleo Protein Muffins - m4w,Turmeric Paleo Protein Muffins , m4w,,,,m4w,"I'm looking for a creative woman who would like to enjoy some turmeric Paleo Protein muffins. You must be a small bbw looking to trim down. It's a complete turn on for me to share healthy foods with someone struggling with their weight. We can cheat and order pizza sometimes. Hey, why not right -YOLO. It doesn't matter what you look like, but I do prefer Caucasian women. Blondes and red heads can step in front of the line.","I'm looking for a creative woman who would like to enjoy some turmeric Paleo Protein muffins.
You must be a small bbw looking to trim down.
It's a complete turn on for me to share healthy foods with someone struggling with their weight.
We can cheat
and order pizza sometimes.
Hey,
why not right -YOLO.
It doesn't matter what you look like,
but I do prefer Caucasian women.
Blondes
and red heads can step in front of the line.",5/9/2016 16:25:00,,,age: 29
Su Won Ammo jacket/Glasses - m4w (Midtown East),Su Won Ammo jacket/Glasses , m4w (Midtown East),,,,m4w ,I'm looking for the white girl wearing a Su Won Ammo jacket and glasses. You raced passed me so I couldn't say hello. I've see you before on Lexington and 3rd Avenues many times. Next time I'm going to run after you and ask you out for coffee.,"I'm looking for the white girl wearing a Su Won Ammo jacket
and glasses.
You raced passed me so I couldn't say hello.
I've see you before on Lexington
and 3rd Avenues many times.
Next time I'm going to run after you
and ask you out for coffee.",5/2/2016 13:49:00,,,
Oscar the Grouch Red Head,Oscar the Grouch Red Head,,,,,,"I'm looking for a red head who is an Oscar the Grouch type except she has to be obsessed with cleaning. Picture this, chunky, Oscar the Grouch'like red head, who sits on top of cleaning products all day. She must have a slight cognitive disorder, so she can be cheerful one minute and grouchy the other. If you're out there, let me know. Hope Springs eternal.","I'm looking for a red head who is an Oscar the Grouch type except she has to be obsessed with cleaning.
Picture this,
chunky,
Oscar the Grouch'like red head,
who sits on top of cleaning products all day.
She must have a slight cognitive disorder,
so she can be cheerful one minute
and grouchy the other.
If you're out there,
let me know.
Hope Springs eternal.",5/2/2016 14:57:00,,,
Karen O - m4w,Karen O , m4w,,,,m4w,"I'll never forget the night we spent when you came to visit Allie. That was the best one night stand I'd ever had or could ever imagine. After we had done it, you started singing to me. Your voice was so soothing so angelic. Next time you visit Allie, let me know. I'd love to get together and recreate the memory.","I'll never forget the night we spent when you came to visit Allie.
That was the best one night stand I'd ever had or could ever imagine.
After we had done it,
you started singing to me.
Your voice was so soothing so angelic.
Next time you visit Allie,
let me know.
I'd love to get together
and recreate the memory.",5/3/2016 8:14:00,,,
Northbound 4/5 Train Friday Afternoon - m4w (Lexington Avenue Line),Northbound 4/5 Train Friday Afternoon , m4w (Lexington Avenue Line),,,,m4w ,Woman with black hair wearing tight fitted jacket that was oppositie me on the train from 14th Street until we both got off at 86th Street. Interested?,"Woman with black hair wearing tight fitted jacket that was oppositie me on the train from 14th Street until we both got off at 86th Street.
Interested?",4/22/2016 21:12:00,,,body : fit
